company	deal_year	company_type	amt_raised_millions
Clover Health Investments (NAS: CLOV)	2015	Challenger	13.00
Collaborative Medical Technology	2015	Challenger	5.00
ConcertoHealth	2015	Challenger	15.25
ContinuumRX	2015	Enabler	13.50
Crisis Text Line	2015	Challenger	7.00
Crossover Health	2015	Challenger	15.00
Cureatr	2015	Enabler	13.00
Decisio Health	2015	Enabler	4.00
DiaCarta	2015	Challenger	8.00
Discovery Health Partners	2015	Enabler	22.56
Doctor On Demand	2015	Challenger	64.32
Eligible	2015	Enabler	22.70
Enlace Health	2015	Enabler	13.60
Enlitic (ASX: ENL)	2015	Enabler	13.00
Epion Health	2015	Enabler	6.81
Evidation Health	2015	Enabler	6.17
Experity	2015	Enabler	6.00
Fathom (Healthcare Technology Systems)	2015	Enabler	5.00
Forward Health Group	2015	Enabler	5.70
GeneSight	2015	Challenger	52.39
Glytec	2015	Enabler	5.10
goBalto	2015	Enabler	12.11
GoCheck Kids	2015	Enabler	8.15
Greatist	2015	Challenger	5.54
HBI Solutions	2015	Enabler	12.60
hc1 Insights	2015	Enabler	8.20
HCIactive	2015	Enabler	10.66
Headspace	2015	Challenger	30.00
Heal	2015	Challenger	13.10
Health Catalyst (NAS: HCAT)	2015	Enabler	70.00
Health Fidelity	2015	Enabler	19.26
HealthExpense	2015	Enabler	6.30
HealthFinch	2015	Enabler	7.50
HealthLoop	2015	Enabler	13.15
HealthSpot	2015	Enabler	11.56
HeartFlow	2015	Enabler	35.88
Helix (Laboratory Services (Healthcare))	2015	Challenger	185.00
Hicuity Health	2015	Challenger	7.32
HNI Healthcare	2015	Enabler	8.40
HomeHero (Elder and Disabled Care)	2015	Challenger	20.00
Honor	2015	Challenger	20.00
Hospital IQ	2015	Enabler	7.00
iFrame	2015	Enabler	5.40
Imagine Health	2015	Enabler	21.00
IMAT Solutions	2015	Enabler	6.20
Included Health	2015	Enabler	55.00
Independa	2015	Enabler	6.00
INTERlink AI	2015	Enabler	5.36
Iora Health	2015	Challenger	8.04
Iora Health	2015	Challenger	28.00
Ivenix	2015	Enabler	27.50
Joyable	2015	Challenger	8.00
Kindara	2015	Enabler	5.30
Kyruus	2015	Enabler	37.00
Lemonaid Health	2015	Challenger	1.87
Life Image	2015	Enabler	22.70
Lineagen	2015	Enabler	12.17
Lua (Communication Software)	2015	Enabler	7.00
Lumeon	2015	Enabler	6.19
Lyra Health	2015	Challenger	35.00
MD Insider	2015	Enabler	12.00
MD Insider	2015	Enabler	9.50
MD Revolution	2015	Enabler	23.49
MDLive	2015	Challenger	50.00
MDsave	2015	Enabler	14.14
MedCPU	2015	Enabler	5.00
Medisafe	2015	Enabler	6.00
Metabiota	2015	Enabler	31.20
Modernizing Medicine	2015	Enabler	48.00
Modernizing Medicine	2015	Enabler	20.00
MyHealthTeam	2015	Enabler	5.03
NantHealth (PINX: NHIQ)	2015	Enabler	200.00
NantHealth (PINX: NHIQ)	2015	Enabler	160.00
NantOmics	2015	Challenger	250.91
NantOmics	2015	Challenger	10.00
Narus Health	2015	Challenger	27.00
Navigating Cancer	2015	Enabler	5.25
Nimble (Medical Records Systems)	2015	Enabler	12.00
Noom	2015	Challenger	16.15
NovuHealth	2015	Enabler	20.00
Olive (Enterprise Systems)	2015	Enabler	15.00
Omada (NAS: OMDA)	2015	Challenger	48.66
One Medical (Clinics/Outpatient Services)	2015	Challenger	65.00
OrganizedWisdom	2015	Challenger	5.00
Oscar Health (NYS: OSCR)	2015	Challenger	167.42
Pager	2015	Challenger	14.00
Pager	2015	Challenger	5.90
Par8o	2015	Enabler	10.50
PatientPop	2015	Enabler	10.00
Pear Therapeutics	2015	Challenger	5.00
PerfectServe	2015	Enabler	10.46
Persivia	2015	Enabler	6.30
PierianDx	2015	Enabler	14.20
PillPack	2015	Challenger	51.50
PipelineRx	2015	Enabler	9.20
PokitDok	2015	Enabler	38.10
Pulsara	2015	Enabler	5.96
QualMetrix	2015	Enabler	5.00
Quartet Health	2015	Enabler	7.00
RedBrick Health	2015	Enabler	30.00
Remedy Partners	2015	Enabler	60.00
Rheonix	2015	Challenger	28.60
RiverMend Health	2015	Challenger	60.00
Roam Analytics	2015	Enabler	9.60
Saama Analytics	2015	Enabler	35.75
Sanguine	2015	Enabler	5.53
Sapphire Digital	2015	Enabler	41.84
Science 37 Holdings	2015	Enabler	6.50
Sentieon	2015	Enabler	20.00
Sentrian	2015	Enabler	8.00
Sharecare	2015	Enabler	33.12
Sherpaa	2015	Challenger	6.17
sikka.ai	2015	Enabler	10.50
sikka.ai	2015	Enabler	5.50
SleepMed	2015	Challenger	7.01
Spiras Health	2015	Challenger	6.70
Spruce Health	2015	Enabler	15.00
Statera Spine	2015	Enabler	9.60
Surgical Theater	2015	Enabler	9.45
SwipeSense	2015	Enabler	9.70
Talkspace (NAS: TALK)	2015	Challenger	9.56
Tebra Technologies	2015	Enabler	55.00
TigerConnect	2015	Enabler	33.41
Totali	2015	Enabler	5.00
Tree Street Management	2015	Enabler	8.80
Twill	2015	Challenger	5.00
Twine Health	2015	Enabler	7.28
US HealthVest	2015	Challenger	10.00
USRetina	2015	Enabler	5.02
Validic	2015	Enabler	12.50
Vecna Technologies	2015	Enabler	
Verana Health	2015	Enabler	7.80
Verato	2015	Enabler	12.50
Verisma Systems	2015	Enabler	14.55
Veritas (Laboratory Services)	2015	Challenger	10.00
Vida	2015	Challenger	5.00
VillageMD	2015	Challenger	36.00
VitalWare	2015	Enabler	5.50
Voalte	2015	Enabler	17.00
Wayspring	2015	Challenger	8.00
Wellfount	2015	Enabler	1.50
Welltok	2015	Enabler	38.05
Welltok	2015	Enabler	45.00
Welltok	2015	Enabler	21.34
Welltok	2015	Enabler	37.00
Wildflower Health	2015	Enabler	5.00
Yaro (Lenexa)	2015	Enabler	6.00
ZappRx	2015	Enabler	14.51
Zephyr Health	2015	Enabler	17.48
Zocdoc	2015	Enabler	130.00
4G Clinical	2016	Enabler	5.00
Aaptiv	2016	Challenger	14.00
ABOUT Healthcare	2016	Enabler	5.89
Accolade (Managed Care)	2016	Enabler	71.10
Accuity Delivery Systems	2016	Enabler	14.46
Advantia Health	2016	Challenger	12.00
Akili Interactive	2016	Challenger	42.50
Aldera	2016	Enabler	5.13
Aligned TeleHealth	2016	Enabler	12.00
Alto Pharmacy	2016	Challenger	6.00
AmberGen	2016	Enabler	
Ambra Health	2016	Enabler	6.00
Ampersand Health (Other Healthcare Services)	2016	Challenger	5.15
Analyte Health	2016	Challenger	6.50
Antidote	2016	Enabler	6.41
Applied Pathways	2016	Enabler	6.00
AristaMD	2016	Enabler	9.67
Arterys	2016	Enabler	12.00
Aspire Health	2016	Challenger	31.35
Augmedix	2016	Enabler	40.45
Avizia	2016	Enabler	17.00
Azalea Health	2016	Enabler	10.61
Babylon Health	2016	Challenger	25.00
Benchling	2016	Enabler	7.00
Best Doctors	2016	Challenger	10.00
Big Health	2016	Enabler	11.22
BioIQ	2016	Challenger	7.00
BioIQ	2016	Challenger	10.00
Biotheranostics	2016	Challenger	32.00
Blink Health	2016	Enabler	75.00
Bluesight	2016	Enabler	15.00
Call9	2016	Challenger	9.48
Caption Care	2016	Enabler	5.70
CardioDx	2016	Challenger	6.65
CareCloud Health	2016	Enabler	31.50
CareGuardian	2016	Challenger	32.76
Caremerge	2016	Enabler	11.86
CareZone	2016	Enabler	62.00
Catapult Health	2016	Challenger	10.10
CellMax Life	2016	Challenger	9.00
Chiron Health	2016	Enabler	7.09
Chronix Biomedical	2016	Challenger	5.01
Clarify( Enterprise Systems (Healthcare))	2016	Enabler	5.96
CleanSlate (Clinics/Outpatient Services)	2016	Challenger	9.52
ClearCare	2016	Enabler	60.00
Cleveland HeartLab	2016	Challenger	7.00
Clinicient	2016	Enabler	5.40
Cloud 9 Software	2016	Enabler	
Clover Health Investments (NAS: CLOV)	2016	Challenger	160.00
ConcertoHealth	2016	Challenger	7.50
Contessa	2016	Challenger	7.00
Convergence CT	2016	Enabler	6.00
Crisis Text Line	2016	Challenger	23.80
Crossover Health	2016	Challenger	92.00
Curology	2016	Challenger	15.00
Datica	2016	Enabler	6.50
DayTwo	2016	Enabler	5.00
Digital Pharmacist	2016	Enabler	6.50
Docent Health	2016	Enabler	17.10
Edaris Health	2016	Enabler	5.32
Edgewood Healthcare	2016	Challenger	5.98
Elation Health	2016	Enabler	15.00
Electronic Caregiver	2016	Enabler	
Ella Health	2016	Challenger	6.94
Employers Health Network	2016	Challenger	6.25
Enspire DBS Therapy	2016	Challenger	5.15
ePatientFinder	2016	Enabler	8.20
Epoch Health	2016	Challenger	5.00
ESO Solutions	2016	Enabler	42.91
Evidation Health	2016	Enabler	15.00
eVisit	2016	Enabler	5.42
Exagen (NAS: XGN)	2016	Challenger	19.82
Fabric Genomics	2016	Enabler	23.00
Farcast Biosciences	2016	Enabler	27.40
Finrise	2016	Enabler	3.83
Fivos	2016	Enabler	14.70
Flatiron	2016	Enabler	190.00
Foodsmart	2016	Enabler	18.00
Forward (Clinics/Outpatient Services)	2016	Challenger	29.50
Freenome	2016	Enabler	5.55
Glooko	2016	Enabler	24.50
Glytec	2016	Enabler	5.00
GoCheck Kids	2016	Enabler	10.60
Headspace	2016	Challenger	35.00
Heal	2016	Challenger	52.68
Health Catalyst (NAS: HCAT)	2016	Enabler	70.00
Healthcare TTU	2016	Enabler	5.00
HealthFleet	2016	Enabler	28.14
HealthVerity	2016	Enabler	7.13
HeartFlow	2016	Enabler	99.93
Higi (Decision/Risk Analysis)	2016	Enabler	40.00
HNI Healthcare	2016	Enabler	0.70
Honor	2016	Challenger	42.00
Hospital IQ	2016	Enabler	6.25
i2i Population Health	2016	Enabler	5.60
iLLUME Ai	2016	Enabler	15.30
Imagen (Healthcare Technology Systems)	2016	Enabler	5.00
InformedDNA	2016	Enabler	6.50
Innovaccer	2016	Enabler	15.60
InstaMed (Financial Software)	2016	Enabler	25.00
INTERlink AI	2016	Enabler	7.00
InTouch Health	2016	Challenger	15.00
Invicro	2016	Enabler	45.84
Iora Health	2016	Challenger	75.00
Jet Health Solutions	2016	Enabler	16.70
K4Connect	2016	Enabler	8.00
Kannact	2016	Challenger	5.97
Komodo Health	2016	Enabler	7.00
L7 Informatics	2016	Enabler	6.50
Landmark Health	2016	Challenger	60.75
Lantern (Application Software)	2016	Enabler	17.00
Lark	2016	Challenger	21.00
Lexent Bio	2016	Enabler	10.22
LifeOmic Holdings	2016	Enabler	20.00
Lumere	2016	Enabler	10.00
Lumiata	2016	Enabler	10.00
Mana Health	2016	Enabler	8.49
Mango Health (Application Software)	2016	Enabler	6.50
Maxwell Health	2016	Enabler	22.00
MD Revolution	2016	Enabler	9.74
MDsave	2016	Enabler	5.00
MEDArchon	2016	Enabler	5.00
MedCPU	2016	Enabler	35.00
Medici	2016	Challenger	24.17
Medici	2016	Challenger	8.00
Medisas	2016	Enabler	10.59
MedNet (Healthcare Technology Systems)	2016	Enabler	16.50
Medsphere Systems	2016	Enabler	15.30
Moxe	2016	Enabler	5.50
mPulse.	2016	Enabler	13.00
NantHealth (PINX: NHIQ)	2016	Enabler	52.50
Narus Health	2016	Challenger	5.25
Navvis Health Care	2016	Enabler	14.50
NeueHealth (NYS: NEUE)	2016	Challenger	81.72
NeuroVision	2016	Enabler	6.50
Newtopia (TSX: NEWU)	2016	Enabler	10.00
NextHealth Technologies	2016	Enabler	9.50
nirvanaHealth	2016	Enabler	12.00
Noom	2016	Challenger	29.00
Nuna	2016	Enabler	60.00
Nurx	2016	Challenger	5.30
Olive (Enterprise Systems)	2016	Enabler	15.45
OmeCare	2016	Challenger	40.00
OncoHealth (Atlanta)	2016	Enabler	7.50
One Drop	2016	Enabler	8.00
OnShift	2016	Enabler	18.00
Oscar Health (NYS: OSCR)	2016	Challenger	400.00
Ovia Health	2016	Enabler	10.00
Pager	2016	Challenger	5.21
Parasail	2016	Enabler	7.00
PatientPop	2016	Enabler	7.50
Pear Therapeutics	2016	Challenger	20.00
Perminova	2016	Enabler	11.50
Perthera	2016	Enabler	9.17
Phil	2016	Challenger	7.50
Phosphorus (Decision/Risk Analysis)	2016	Enabler	10.00
Picwell	2016	Enabler	7.05
Pieces (Decision/Risk Analysis)	2016	Enabler	22.30
Pillar Biosciences	2016	Enabler	18.00
PillPack	2016	Challenger	55.50
Pivot (Healthcare Technology Systems)	2016	Enabler	7.35
PlushCare	2016	Challenger	8.00
Practice Fusion	2016	Enabler	50.00
Quartet Health	2016	Enabler	40.00
Qventus	2016	Enabler	13.00
Recovery Centers of America	2016	Challenger	331.50
RedBrick Health	2016	Enabler	5.00
Reflexion Health	2016	Enabler	18.00
Rested	2016	Enabler	5.60
RetraceHealth	2016	Challenger	6.53
Reveleer	2016	Enabler	9.13
Roam Analytics	2016	Enabler	10.52
SchoolCare	2016	Enabler	7.73
Science 37 Holdings	2016	Enabler	31.00
Seven Bridges Genomics	2016	Enabler	45.00
Sharecare	2016	Enabler	33.00
SilverCloud Health	2016	Enabler	7.87
SilverVue	2016	Enabler	17.85
Simplee (Financial Software)	2016	Enabler	20.00
Skedulo	2016	Enabler	9.20
SmartLink Health	2016	Enabler	
SnapMD	2016	Enabler	5.30
Somnoware	2016	Enabler	9.00
Stanson Health	2016	Enabler	9.20
Swoop (Media and Information Services)	2016	Enabler	8.60
Syapse	2016	Enabler	25.00
Talix	2016	Enabler	14.00
Talkspace (NAS: TALK)	2016	Challenger	15.00
Therapydia	2016	Challenger	8.18
Tonic Health	2016	Enabler	6.41
TouchCare	2016	Enabler	11.10
TriNetX	2016	Enabler	37.20
Twill	2016	Challenger	5.00
uBiome	2016	Challenger	17.17
Urgent Team	2016	Challenger	22.95
Veritas (Laboratory Services)	2016	Challenger	30.00
Vida	2016	Challenger	18.00
Viewics	2016	Enabler	8.40
Vim	2016	Enabler	11.06
Virta Health	2016	Challenger	28.78
Vivify Health	2016	Enabler	17.00
Wayspring	2016	Challenger	17.04
Welldoc	2016	Challenger	29.50
Welltok	2016	Enabler	33.70
Workpath	2016	Enabler	10.00
YouScript	2016	Enabler	5.10
Zipari	2016	Enabler	7.00
Zipnosis	2016	Challenger	17.00
23andMe (PINX: MEHCQ)	2017	Enabler	250.00
8fit	2017	Enabler	7.00
98point6	2017	Challenger	29.08
Aaptiv	2017	Challenger	38.00
AbleTo	2017	Challenger	36.65
Accuity Delivery Systems	2017	Enabler	25.50
Actify Neurotherapies	2017	Challenger	5.00
ActX	2017	Challenger	5.61
Advantia Health	2017	Challenger	12.39
Aetion	2017	Enabler	11.20
AiCure	2017	Enabler	15.00
Aledade	2017	Enabler	40.25
AllClear ID	2017	Enabler	6.50
AllerGenis	2017	Challenger	15.00
AltheaDx	2017	Enabler	27.00
Alto Pharmacy	2017	Challenger	17.15
Ambient Clinical Analytics	2017	Enabler	5.39
Ambra Health	2017	Enabler	7.40
Amino Health	2017	Enabler	25.00
Antidote	2017	Enabler	10.90
Apervita	2017	Enabler	16.50
Arivale	2017	Enabler	13.60
Arrive Health	2017	Enabler	5.28
Artemis Health	2017	Enabler	22.70
Artemis Health	2017	Enabler	9.82
Arterys	2017	Enabler	30.06
Asensei	2017	Enabler	6.05
Avalon Healthcare Solutions	2017	Enabler	29.27
Avizia	2017	Enabler	23.00
Babylon Health	2017	Challenger	60.00
Bardavon	2017	Enabler	5.00
BaseHealth	2017	Enabler	8.50
Better Therapeutics	2017	Enabler	21.80
BetterDoctor	2017	Enabler	11.00
Binary Fountain	2017	Enabler	19.92
BioFluidica	2017	Enabler	5.00
Biofourmis	2017	Enabler	5.00
Blink Health	2017	Enabler	90.00
Bright.md	2017	Enabler	8.80
Buoy Health	2017	Challenger	6.70
Call9	2017	Challenger	18.50
Carbon Health	2017	Challenger	6.50
CardioDx	2017	Challenger	18.13
Care Innovations	2017	Enabler	18.00
Carena	2017	Enabler	
Carevive	2017	Enabler	7.25
Carrum Health	2017	Enabler	6.50
Cedar (Enterprise Systems (Healthcare))	2017	Enabler	12.81
CellTrak	2017	Enabler	
ChartSpan	2017	Enabler	10.93
Cipherome	2017	Enabler	9.00
CirrusMD	2017	Challenger	7.50
ClearDATA	2017	Enabler	12.00
CloudMine	2017	Enabler	7.30
Cogitativo	2017	Enabler	5.00
Cognoa	2017	Enabler	11.60
Collective Medical	2017	Enabler	47.50
Commure	2017	Enabler	10.00
Conversa	2017	Enabler	9.00
DayTwo	2017	Enabler	12.00
Deep 6 AI	2017	Enabler	5.00
Devoted	2017	Challenger	62.00
Devoted	2017	Challenger	5.46
Digital Pharmacist	2017	Enabler	6.50
DispatchHealth	2017	Challenger	32.00
DocASAP	2017	Enabler	8.58
Doctor.com	2017	Enabler	7.00
DrChrono	2017	Enabler	12.00
Eagledream Health	2017	Enabler	6.46
EchoPixel	2017	Enabler	8.50
Edico Genome	2017	Enabler	22.00
Elligo Health Research	2017	Enabler	5.00
Emids Technologies	2017	Enabler	5.00
Essence Healthcare	2017	Challenger	100.00
Evariant	2017	Enabler	63.53
Evidation Health	2017	Enabler	10.00
Exagen (NAS: XGN)	2017	Challenger	9.85
Exagen (NAS: XGN)	2017	Challenger	42.90
FetchMD	2017	Challenger	10.00
FIGmd	2017	Enabler	13.50
FitOn Health	2017	Enabler	10.32
Forward (Clinics/Outpatient Services)	2017	Challenger	52.00
Freenome	2017	Enabler	72.00
Fruit Street	2017	Challenger	7.25
Gemini Health	2017	Enabler	
Genome Medical	2017	Challenger	11.00
Genome Medical	2017	Challenger	10.00
Genoox	2017	Enabler	6.00
Glooko	2017	Enabler	35.00
Groups Recover Together	2017	Challenger	11.00
Groups Recover Together	2017	Challenger	13.00
Halo Health	2017	Enabler	11.00
Hawthorne Health	2017	Enabler	13.00
Hazel Health	2017	Challenger	8.30
Headspace	2017	Challenger	37.32
Healthcare TTU	2017	Enabler	6.00
Healthify	2017	Enabler	6.50
HealthLoop	2017	Enabler	8.40
Healthmap Solutions	2017	Challenger	5.60
