company,deal_year,company_type,amt_raised_millions
AltheaDx,2013,Enabler,7.25
Atentiv Health,2013,Enabler,8.06
Aventura (Automation/Workflow Software),2013,Enabler,6.8
Bluesight,2013,Enabler,5.37
CareCloud Health,2013,Enabler,30.0
CellTrak,2013,Enabler,12.0
ClearDATA,2013,Enabler,14.0
Comprehend,2013,Enabler,8.5
ConcertoHealth,2013,Challenger,20.5
Conversio Health,2013,Enabler,14.83
Crossover Health,2013,Challenger,6.49
Cureatr,2013,Enabler,5.78
eHealth Technologies,2013,Enabler,6.0
Elucid,2013,Enabler,6.0
Emids Technologies,2013,Enabler,13.3
Experity,2013,Enabler,11.9
Fabric Genomics,2013,Enabler,6.8
Flatiron,2013,Enabler,8.0
Glooko,2013,Enabler,3.75
Health Catalyst (NAS: HCAT),2013,Enabler,41.0
Healthmine,2013,Enabler,15.0
HealthSpot,2013,Enabler,10.9
HealthTap,2013,Challenger,24.0
HNI Healthcare,2013,Enabler,9.8
Included Health,2013,Enabler,10.0
Independa,2013,Enabler,4.56
InformedDNA,2013,Enabler,7.72
InTouch Health,2013,Challenger,8.9
Iora Health,2013,Challenger,14.03
Kyruus,2013,Enabler,11.0
Life Image,2013,Enabler,36.58
Lineagen,2013,Enabler,16.26
Lineagen,2013,Enabler,3.88
Maxwell Health,2013,Enabler,6.0
MedCPU,2013,Enabler,8.18
Modernizing Medicine,2013,Enabler,14.0
Olive (Enterprise Systems),2013,Enabler,5.0
One Medical (Clinics/Outpatient Services),2013,Challenger,30.0
Oscar Health (NYS: OSCR),2013,Challenger,51.5
PatientsLikeMe,2013,Enabler,12.0
Phreesia (NYS: PHR),2013,Enabler,10.0
Prognos Health,2013,Enabler,15.0
RedBrick Health,2013,Enabler,14.0
Rheonix,2013,Challenger,12.0
Sapphire Digital,2013,Enabler,22.0
Simplee (Financial Software),2013,Enabler,10.0
Strava,2013,Enabler,19.7
US HealthVest,2013,Challenger,36.0
Welltok,2013,Enabler,18.71
AbleTo,2014,Challenger,6.0
AirStrip Technologies,2014,Enabler,25.0
American Well (NYS: AMWL),2014,Enabler,81.19
Amino Health,2014,Enabler,7.0
Apixio,2014,Enabler,13.5
ArborMetrix,2014,Enabler,7.77
Aspire Health,2014,Challenger,5.5
Atentiv Health,2014,Enabler,8.2
Augmedix,2014,Enabler,7.36
BetterDoctor,2014,Enabler,10.0
Binary Fountain,2014,Enabler,5.7
CardioDx,2014,Challenger,35.0
CareGuardian,2014,Challenger,5.06
CareZone,2014,Enabler,30.0
ClearCare,2014,Enabler,11.0
Cleveland HeartLab,2014,Challenger,6.5
Clinicient,2014,Enabler,15.0
Comprehend,2014,Enabler,21.02
Doctor On Demand,2014,Challenger,21.0
Enlace Health,2014,Enabler,8.5
Evariant,2014,Enabler,18.3
Fabric Genomics,2014,Enabler,
Flatiron,2014,Enabler,130.0
Foodsmart,2014,Enabler,8.5
GeneSight,2014,Challenger,12.5
Ginger,2014,Challenger,20.0
Glooko,2014,Enabler,7.0
goBalto,2014,Enabler,5.0
Health Catalyst (NAS: HCAT),2014,Enabler,41.0
HealthCare.com,2014,Challenger,9.27
HealthSpot,2014,Enabler,18.32
HeartFlow,2014,Enabler,104.7
Included Health,2014,Enabler,40.0
InstaMed (Financial Software),2014,Enabler,16.8
Lumeris,2014,Enabler,71.03
Lumiata,2014,Enabler,6.0
Mango Health (Application Software),2014,Enabler,5.25
Maxwell Health,2014,Enabler,26.37
MD Revolution,2014,Enabler,9.0
MDLive,2014,Challenger,23.6
MedCPU,2014,Enabler,9.3
Newtopia (TSX: NEWU),2014,Enabler,5.0
Noom,2014,Challenger,7.0
Nuna,2014,Enabler,30.0
Omada (NAS: OMDA),2014,Challenger,23.0
OmeCare,2014,Challenger,36.0
OmeCare,2014,Challenger,35.0
One Medical (Clinics/Outpatient Services),2014,Challenger,40.5
OneStudyTeam,2014,Enabler,7.4
OnShift,2014,Enabler,7.1
Oscar Health (NYS: OSCR),2014,Challenger,30.0
Oscar Health (NYS: OSCR),2014,Challenger,80.0
Phreesia (NYS: PHR),2014,Enabler,30.0
PillPack,2014,Challenger,8.75
PipelineRx,2014,Enabler,5.0
Practice Fusion,2014,Enabler,87.95
RedBrick Health,2014,Enabler,7.5
Reflexion Health,2014,Enabler,7.5
Remedy Partners,2014,Enabler,35.2
Sharecare,2014,Enabler,42.28
SHYFT Analytics,2014,Enabler,19.0
Strava,2014,Enabler,18.5
Syapse,2014,Enabler,10.0
Tebra Technologies,2014,Enabler,27.0
TigerConnect,2014,Enabler,21.0
TriNetX,2014,Enabler,13.01
Truveris,2014,Enabler,12.75
Validic,2014,Enabler,5.03
Vertava Health,2014,Challenger,6.0
Vida,2014,Challenger,5.0
Viewics,2014,Enabler,8.0
VisitPay,2014,Enabler,5.0
Voalte,2014,Enabler,36.0
Welldoc,2014,Challenger,20.0
Wellfount,2014,Enabler,30.0
Wellframe,2014,Enabler,8.5
Welltok,2014,Enabler,22.09
Zephyr Health,2014,Enabler,15.0
23andMe (PINX: MEHCQ),2015,Enabler,115.0
AbleTo,2015,Challenger,12.0
Accolade (Managed Care),2015,Enabler,22.5
Activate Care,2015,Enabler,8.4
AiCure,2015,Enabler,12.25
Aledade,2015,Enabler,30.0
AltheaDx,2015,Enabler,30.0
Ambra Health,2015,Enabler,6.31
American Well (NYS: AMWL),2015,Enabler,5.0
Amino Health,2015,Enabler,12.92
Angioinsight,2015,Challenger,
Annai Systems,2015,Enabler,19.0
Antidote,2015,Enabler,6.8
Apervita,2015,Enabler,17.92
Arivale,2015,Enabler,36.0
Aspire Health,2015,Challenger,15.0
Augmedix,2015,Enabler,16.53
Aventura (Automation/Workflow Software),2015,Enabler,14.0
Benchling,2015,Enabler,5.0
Better Therapeutics,2015,Enabler,6.58
Bluesight,2015,Enabler,12.0
CareCloud Health,2015,Enabler,16.87
Careforth,2015,Challenger,20.0
CareLinx,2015,Challenger,5.24
Carena,2015,Enabler,13.3
CareSync,2015,Enabler,18.0
Castle Biosciences (NAS: CSTL),2015,Challenger,17.0
Catapult Health,2015,Challenger,8.5
Ceresti Health,2015,Challenger,7.0
Claritas Genomics,2015,Challenger,14.98
ClearDATA,2015,Enabler,25.0
Clinical Ink,2015,Enabler,11.25
CloudMedx,2015,Enabler,6.6
CloudMine,2015,Enabler,7.22
Clover Health Investments (NAS: CLOV),2015,Challenger,35.0
Clover Health Investments (NAS: CLOV),2015,Challenger,13.0
Collaborative Medical Technology,2015,Challenger,5.0
ConcertoHealth,2015,Challenger,15.25
ContinuumRX,2015,Enabler,13.5
Crisis Text Line,2015,Challenger,7.0
Crossover Health,2015,Challenger,15.0
Cureatr,2015,Enabler,13.0
Decisio Health,2015,Enabler,4.0
DiaCarta,2015,Challenger,8.0
Discovery Health Partners,2015,Enabler,22.56
Doctor On Demand,2015,Challenger,64.32
Eligible,2015,Enabler,22.7
Enlace Health,2015,Enabler,13.6
Enlitic (ASX: ENL),2015,Enabler,13.0
Epion Health,2015,Enabler,6.81
Evidation Health,2015,Enabler,6.17
Experity,2015,Enabler,6.0
Fathom (Healthcare Technology Systems),2015,Enabler,5.0
Forward Health Group,2015,Enabler,5.7
GeneSight,2015,Challenger,52.39
Glytec,2015,Enabler,5.1
goBalto,2015,Enabler,12.11
GoCheck Kids,2015,Enabler,8.15
Greatist,2015,Challenger,5.54
HBI Solutions,2015,Enabler,12.6
hc1 Insights,2015,Enabler,8.2
HCIactive,2015,Enabler,10.66
Headspace,2015,Challenger,30.0
Heal,2015,Challenger,13.1
Health Catalyst (NAS: HCAT),2015,Enabler,70.0
Health Fidelity,2015,Enabler,19.26
HealthExpense,2015,Enabler,6.3
HealthFinch,2015,Enabler,7.5
HealthLoop,2015,Enabler,13.15
HealthSpot,2015,Enabler,11.56
HeartFlow,2015,Enabler,35.88
Helix (Laboratory Services (Healthcare)),2015,Challenger,185.0
Hicuity Health,2015,Challenger,7.32
HNI Healthcare,2015,Enabler,8.4
HomeHero (Elder and Disabled Care),2015,Challenger,20.0
Honor,2015,Challenger,20.0
Hospital IQ,2015,Enabler,7.0
iFrame,2015,Enabler,5.4
Imagine Health,2015,Enabler,21.0
IMAT Solutions,2015,Enabler,6.2
Included Health,2015,Enabler,55.0
Independa,2015,Enabler,6.0
INTERlink AI,2015,Enabler,5.36
Iora Health,2015,Challenger,8.04
Iora Health,2015,Challenger,28.0
Ivenix,2015,Enabler,27.5
Joyable,2015,Challenger,8.0
Kindara,2015,Enabler,5.3
Kyruus,2015,Enabler,37.0
Lemonaid Health,2015,Challenger,1.87
Life Image,2015,Enabler,22.7
Lineagen,2015,Enabler,12.17
Lua (Communication Software),2015,Enabler,7.0
Lumeon,2015,Enabler,6.19
Lyra Health,2015,Challenger,35.0
MD Insider,2015,Enabler,12.0
MD Insider,2015,Enabler,9.5
MD Revolution,2015,Enabler,23.49
MDLive,2015,Challenger,50.0
MDsave,2015,Enabler,14.14
MedCPU,2015,Enabler,5.0
Medisafe,2015,Enabler,6.0
Metabiota,2015,Enabler,31.2
Modernizing Medicine,2015,Enabler,48.0
Modernizing Medicine,2015,Enabler,20.0
MyHealthTeam,2015,Enabler,5.03
NantHealth (PINX: NHIQ),2015,Enabler,200.0
NantHealth (PINX: NHIQ),2015,Enabler,160.0
NantOmics,2015,Challenger,250.91
NantOmics,2015,Challenger,10.0
Narus Health,2015,Challenger,27.0
Navigating Cancer,2015,Enabler,5.25
Nimble (Medical Records Systems),2015,Enabler,12.0
Noom,2015,Challenger,16.15
NovuHealth,2015,Enabler,20.0
Olive (Enterprise Systems),2015,Enabler,15.0
Omada (NAS: OMDA),2015,Challenger,48.66
One Medical (Clinics/Outpatient Services),2015,Challenger,65.0
OrganizedWisdom,2015,Challenger,5.0
Oscar Health (NYS: OSCR),2015,Challenger,167.42
Pager,2015,Challenger,14.0
Pager,2015,Challenger,5.9
Par8o,2015,Enabler,10.5
PatientPop,2015,Enabler,10.0
Pear Therapeutics,2015,Challenger,5.0
PerfectServe,2015,Enabler,10.46
Persivia,2015,Enabler,6.3
PierianDx,2015,Enabler,14.2
PillPack,2015,Challenger,51.5
PipelineRx,2015,Enabler,9.2
PokitDok,2015,Enabler,38.1
Pulsara,2015,Enabler,5.96
QualMetrix,2015,Enabler,5.0
Quartet Health,2015,Enabler,7.0
RedBrick Health,2015,Enabler,30.0
Remedy Partners,2015,Enabler,60.0
Rheonix,2015,Challenger,28.6
RiverMend Health,2015,Challenger,60.0
Roam Analytics,2015,Enabler,9.6
Saama Analytics,2015,Enabler,35.75
Sanguine,2015,Enabler,5.53
Sapphire Digital,2015,Enabler,41.84
Science 37 Holdings,2015,Enabler,6.5
Sentieon,2015,Enabler,20.0
Sentrian,2015,Enabler,8.0
Sharecare,2015,Enabler,33.12
Sherpaa,2015,Challenger,6.17
sikka.ai,2015,Enabler,10.5
sikka.ai,2015,Enabler,5.5
SleepMed,2015,Challenger,7.01
Spiras Health,2015,Challenger,6.7
Spruce Health,2015,Enabler,15.0
Statera Spine,2015,Enabler,9.6
Surgical Theater,2015,Enabler,9.45
SwipeSense,2015,Enabler,9.7
Talkspace (NAS: TALK),2015,Challenger,9.56
Tebra Technologies,2015,Enabler,55.0
TigerConnect,2015,Enabler,33.41
Totali,2015,Enabler,5.0
Tree Street Management,2015,Enabler,8.8
Twill,2015,Challenger,5.0
Twine Health,2015,Enabler,7.28
US HealthVest,2015,Challenger,10.0
USRetina,2015,Enabler,5.02
Validic,2015,Enabler,12.5
Vecna Technologies,2015,Enabler,
Verana Health,2015,Enabler,7.8
Verato,2015,Enabler,12.5
Verisma Systems,2015,Enabler,14.55
Veritas (Laboratory Services),2015,Challenger,10.0
Vida,2015,Challenger,5.0
VillageMD,2015,Challenger,36.0
VitalWare,2015,Enabler,5.5
Voalte,2015,Enabler,17.0
Wayspring,2015,Challenger,8.0
Wellfount,2015,Enabler,1.5
Welltok,2015,Enabler,38.05
Welltok,2015,Enabler,45.0
Welltok,2015,Enabler,21.34
Welltok,2015,Enabler,37.0
Wildflower Health,2015,Enabler,5.0
Yaro (Lenexa),2015,Enabler,6.0
ZappRx,2015,Enabler,14.51
Zephyr Health,2015,Enabler,17.48
Zocdoc,2015,Enabler,130.0
4G Clinical,2016,Enabler,5.0
Aaptiv,2016,Challenger,14.0
ABOUT Healthcare,2016,Enabler,5.89
Accolade (Managed Care),2016,Enabler,71.1
Accuity Delivery Systems,2016,Enabler,14.46
Advantia Health,2016,Challenger,12.0
Akili Interactive,2016,Challenger,42.5
Aldera,2016,Enabler,5.13
Aligned TeleHealth,2016,Enabler,12.0
Alto Pharmacy,2016,Challenger,6.0
AmberGen,2016,Enabler,
Ambra Health,2016,Enabler,6.0
Ampersand Health (Other Healthcare Services),2016,Challenger,5.15
Analyte Health,2016,Challenger,6.5
Antidote,2016,Enabler,6.41
Applied Pathways,2016,Enabler,6.0
AristaMD,2016,Enabler,9.67
Arterys,2016,Enabler,12.0
Aspire Health,2016,Challenger,31.35
Augmedix,2016,Enabler,40.45
Avizia,2016,Enabler,17.0
Azalea Health,2016,Enabler,10.61
Babylon Health,2016,Challenger,25.0
Benchling,2016,Enabler,7.0
Best Doctors,2016,Challenger,10.0
Big Health,2016,Enabler,11.22
BioIQ,2016,Challenger,7.0
BioIQ,2016,Challenger,10.0
Biotheranostics,2016,Challenger,32.0
Blink Health,2016,Enabler,75.0
Bluesight,2016,Enabler,15.0
Call9,2016,Challenger,9.48
Caption Care,2016,Enabler,5.7
CardioDx,2016,Challenger,6.65
CareCloud Health,2016,Enabler,31.5
CareGuardian,2016,Challenger,32.76
Caremerge,2016,Enabler,11.86
CareZone,2016,Enabler,62.0
Catapult Health,2016,Challenger,10.1
CellMax Life,2016,Challenger,9.0
Chiron Health,2016,Enabler,7.09
Chronix Biomedical,2016,Challenger,5.01
Clarify( Enterprise Systems (Healthcare)),2016,Enabler,5.96
CleanSlate (Clinics/Outpatient Services),2016,Challenger,9.52
ClearCare,2016,Enabler,60.0
Cleveland HeartLab,2016,Challenger,7.0
Clinicient,2016,Enabler,5.4
Cloud 9 Software,2016,Enabler,
Clover Health Investments (NAS: CLOV),2016,Challenger,160.0
ConcertoHealth,2016,Challenger,7.5
Contessa,2016,Challenger,7.0
Convergence CT,2016,Enabler,6.0
Crisis Text Line,2016,Challenger,23.8
Crossover Health,2016,Challenger,92.0
Curology,2016,Challenger,15.0
Datica,2016,Enabler,6.5
DayTwo,2016,Enabler,5.0
Digital Pharmacist,2016,Enabler,6.5
Docent Health,2016,Enabler,17.1
Edaris Health,2016,Enabler,5.32
Edgewood Healthcare,2016,Challenger,5.98
Elation Health,2016,Enabler,15.0
Electronic Caregiver,2016,Enabler,
Ella Health,2016,Challenger,6.94
Employers Health Network,2016,Challenger,6.25
Enspire DBS Therapy,2016,Challenger,5.15
ePatientFinder,2016,Enabler,8.2
Epoch Health,2016,Challenger,5.0
ESO Solutions,2016,Enabler,42.91
Evidation Health,2016,Enabler,15.0
eVisit,2016,Enabler,5.42
Exagen (NAS: XGN),2016,Challenger,19.82
Fabric Genomics,2016,Enabler,23.0
Farcast Biosciences,2016,Enabler,27.4
Finrise,2016,Enabler,3.83
Fivos,2016,Enabler,14.7
Flatiron,2016,Enabler,190.0
Foodsmart,2016,Enabler,18.0
Forward (Clinics/Outpatient Services),2016,Challenger,29.5
Freenome,2016,Enabler,5.55
Glooko,2016,Enabler,24.5
Glytec,2016,Enabler,5.0
GoCheck Kids,2016,Enabler,10.6
Headspace,2016,Challenger,35.0
Heal,2016,Challenger,52.68
Health Catalyst (NAS: HCAT),2016,Enabler,70.0
Healthcare TTU,2016,Enabler,5.0
HealthFleet,2016,Enabler,28.14
HealthVerity,2016,Enabler,7.13
HeartFlow,2016,Enabler,99.93
Higi (Decision/Risk Analysis),2016,Enabler,40.0
HNI Healthcare,2016,Enabler,0.7
Honor,2016,Challenger,42.0
Hospital IQ,2016,Enabler,6.25
i2i Population Health,2016,Enabler,5.6
iLLUME Ai,2016,Enabler,15.3
Imagen (Healthcare Technology Systems),2016,Enabler,5.0
InformedDNA,2016,Enabler,6.5
Innovaccer,2016,Enabler,15.6
InstaMed (Financial Software),2016,Enabler,25.0
INTERlink AI,2016,Enabler,7.0
InTouch Health,2016,Challenger,15.0
Invicro,2016,Enabler,45.84
Iora Health,2016,Challenger,75.0
Jet Health Solutions,2016,Enabler,16.7
K4Connect,2016,Enabler,8.0
Kannact,2016,Challenger,5.97
Komodo Health,2016,Enabler,7.0
L7 Informatics,2016,Enabler,6.5
Landmark Health,2016,Challenger,60.75
Lantern (Application Software),2016,Enabler,17.0
Lark,2016,Challenger,21.0
Lexent Bio,2016,Enabler,10.22
LifeOmic Holdings,2016,Enabler,20.0
Lumere,2016,Enabler,10.0
Lumiata,2016,Enabler,10.0
Mana Health,2016,Enabler,8.49
Mango Health (Application Software),2016,Enabler,6.5
Maxwell Health,2016,Enabler,22.0
MD Revolution,2016,Enabler,9.74
MDsave,2016,Enabler,5.0
MEDArchon,2016,Enabler,5.0
MedCPU,2016,Enabler,35.0
Medici,2016,Challenger,24.17
Medici,2016,Challenger,8.0
Medisas,2016,Enabler,10.59
MedNet (Healthcare Technology Systems),2016,Enabler,16.5
Medsphere Systems,2016,Enabler,15.3
Moxe,2016,Enabler,5.5
mPulse.,2016,Enabler,13.0
NantHealth (PINX: NHIQ),2016,Enabler,52.5
Narus Health,2016,Challenger,5.25
Navvis Health Care,2016,Enabler,14.5
NeueHealth (NYS: NEUE),2016,Challenger,81.72
NeuroVision,2016,Enabler,6.5
Newtopia (TSX: NEWU),2016,Enabler,10.0
NextHealth Technologies,2016,Enabler,9.5
nirvanaHealth,2016,Enabler,12.0
Noom,2016,Challenger,29.0
Nuna,2016,Enabler,60.0
Nurx,2016,Challenger,5.3
Olive (Enterprise Systems),2016,Enabler,15.45
OmeCare,2016,Challenger,40.0
OncoHealth (Atlanta),2016,Enabler,7.5
One Drop,2016,Enabler,8.0
OnShift,2016,Enabler,18.0
Oscar Health (NYS: OSCR),2016,Challenger,400.0
Ovia Health,2016,Enabler,10.0
Pager,2016,Challenger,5.21
Parasail,2016,Enabler,7.0
PatientPop,2016,Enabler,7.5
Pear Therapeutics,2016,Challenger,20.0
Perminova,2016,Enabler,11.5
Perthera,2016,Enabler,9.17
Phil,2016,Challenger,7.5
Phosphorus (Decision/Risk Analysis),2016,Enabler,10.0
Picwell,2016,Enabler,7.05
Pieces (Decision/Risk Analysis),2016,Enabler,22.3
Pillar Biosciences,2016,Enabler,18.0
PillPack,2016,Challenger,55.5
Pivot (Healthcare Technology Systems),2016,Enabler,7.35
PlushCare,2016,Challenger,8.0
Practice Fusion,2016,Enabler,50.0
Quartet Health,2016,Enabler,40.0
Qventus,2016,Enabler,13.0
Recovery Centers of America,2016,Challenger,331.5
RedBrick Health,2016,Enabler,5.0
Reflexion Health,2016,Enabler,18.0
Rested,2016,Enabler,5.6
RetraceHealth,2016,Challenger,6.53
Reveleer,2016,Enabler,9.13
Roam Analytics,2016,Enabler,10.52
SchoolCare,2016,Enabler,7.73
Science 37 Holdings,2016,Enabler,31.0
Seven Bridges Genomics,2016,Enabler,45.0
Sharecare,2016,Enabler,33.0
SilverCloud Health,2016,Enabler,7.87
SilverVue,2016,Enabler,17.85
Simplee (Financial Software),2016,Enabler,20.0
Skedulo,2016,Enabler,9.2
SmartLink Health,2016,Enabler,
SnapMD,2016,Enabler,5.3
Somnoware,2016,Enabler,9.0
Stanson Health,2016,Enabler,9.2
Swoop (Media and Information Services),2016,Enabler,8.6
Syapse,2016,Enabler,25.0
Talix,2016,Enabler,14.0
Talkspace (NAS: TALK),2016,Challenger,15.0
Therapydia,2016,Challenger,8.18
Tonic Health,2016,Enabler,6.41
TouchCare,2016,Enabler,11.1
TriNetX,2016,Enabler,37.2
Twill,2016,Challenger,5.0
uBiome,2016,Challenger,17.17
Urgent Team,2016,Challenger,22.95
Veritas (Laboratory Services),2016,Challenger,30.0
Vida,2016,Challenger,18.0
Viewics,2016,Enabler,8.4
Vim,2016,Enabler,11.06
Virta Health,2016,Challenger,28.78
Vivify Health,2016,Enabler,17.0
Wayspring,2016,Challenger,17.04
Welldoc,2016,Challenger,29.5
Welltok,2016,Enabler,33.7
Workpath,2016,Enabler,10.0
YouScript,2016,Enabler,5.1
Zipari,2016,Enabler,7.0
Zipnosis,2016,Challenger,17.0
23andMe (PINX: MEHCQ),2017,Enabler,250.0
8fit,2017,Enabler,7.0
98point6,2017,Challenger,29.08
Aaptiv,2017,Challenger,38.0
AbleTo,2017,Challenger,36.65
Accuity Delivery Systems,2017,Enabler,25.5
Actify Neurotherapies,2017,Challenger,5.0
ActX,2017,Challenger,5.61
Advantia Health,2017,Challenger,12.39
Aetion,2017,Enabler,11.2
AiCure,2017,Enabler,15.0
Aledade,2017,Enabler,40.25
AllClear ID,2017,Enabler,6.5
AllerGenis,2017,Challenger,15.0
AltheaDx,2017,Enabler,27.0
Alto Pharmacy,2017,Challenger,17.15
Ambient Clinical Analytics,2017,Enabler,5.39
Ambra Health,2017,Enabler,7.4
Amino Health,2017,Enabler,25.0
Antidote,2017,Enabler,10.9
Apervita,2017,Enabler,16.5
Arivale,2017,Enabler,13.6
Arrive Health,2017,Enabler,5.28
Artemis Health,2017,Enabler,22.7
Artemis Health,2017,Enabler,9.82
Arterys,2017,Enabler,30.06
Asensei,2017,Enabler,6.05
Avalon Healthcare Solutions,2017,Enabler,29.27
Avizia,2017,Enabler,23.0
Babylon Health,2017,Challenger,60.0
Bardavon,2017,Enabler,5.0
BaseHealth,2017,Enabler,8.5
Better Therapeutics,2017,Enabler,21.8
BetterDoctor,2017,Enabler,11.0
Binary Fountain,2017,Enabler,19.92
BioFluidica,2017,Enabler,5.0
Biofourmis,2017,Enabler,5.0
Blink Health,2017,Enabler,90.0
Bright.md,2017,Enabler,8.8
Buoy Health,2017,Challenger,6.7
Call9,2017,Challenger,18.5
Carbon Health,2017,Challenger,6.5
CardioDx,2017,Challenger,18.13
Care Innovations,2017,Enabler,18.0
Carena,2017,Enabler,
Carevive,2017,Enabler,7.25
Carrum Health,2017,Enabler,6.5
Cedar (Enterprise Systems (Healthcare)),2017,Enabler,12.81
CellTrak,2017,Enabler,
ChartSpan,2017,Enabler,10.93
Cipherome,2017,Enabler,9.0
CirrusMD,2017,Challenger,7.5
ClearDATA,2017,Enabler,12.0
CloudMine,2017,Enabler,7.3
Cogitativo,2017,Enabler,5.0
Cognoa,2017,Enabler,11.6
Collective Medical,2017,Enabler,47.5
Commure,2017,Enabler,10.0
Conversa,2017,Enabler,9.0
DayTwo,2017,Enabler,12.0
Deep 6 AI,2017,Enabler,5.0
Devoted,2017,Challenger,62.0
Devoted,2017,Challenger,5.46
Digital Pharmacist,2017,Enabler,6.5
DispatchHealth,2017,Challenger,32.0
DocASAP,2017,Enabler,8.58
Doctor.com,2017,Enabler,7.0
DrChrono,2017,Enabler,12.0
Eagledream Health,2017,Enabler,6.46
EchoPixel,2017,Enabler,8.5
Edico Genome,2017,Enabler,22.0
Elligo Health Research,2017,Enabler,5.0
Emids Technologies,2017,Enabler,5.0
Essence Healthcare,2017,Challenger,100.0
Evariant,2017,Enabler,63.53
Evidation Health,2017,Enabler,10.0
Exagen (NAS: XGN),2017,Challenger,9.85
Exagen (NAS: XGN),2017,Challenger,42.9
FetchMD,2017,Challenger,10.0
FIGmd,2017,Enabler,13.5
FitOn Health,2017,Enabler,10.32
Forward (Clinics/Outpatient Services),2017,Challenger,52.0
Freenome,2017,Enabler,72.0
Fruit Street,2017,Challenger,7.25
Gemini Health,2017,Enabler,
Genome Medical,2017,Challenger,11.0
Genome Medical,2017,Challenger,10.0
Genoox,2017,Enabler,6.0
Glooko,2017,Enabler,35.0
Groups Recover Together,2017,Challenger,11.0
Groups Recover Together,2017,Challenger,13.0
Halo Health,2017,Enabler,11.0
Hawthorne Health,2017,Enabler,13.0
Hazel Health,2017,Challenger,8.3
Headspace,2017,Challenger,37.32
Healthcare TTU,2017,Enabler,6.0
Healthify,2017,Enabler,6.5
HealthLoop,2017,Enabler,8.4
Healthmap Solutions,2017,Challenger,5.6
HealthMyne,2017,Enabler,11.0
HealthRhythms,2017,Enabler,
HealthSherpa,2017,Challenger,6.6
HealthTap,2017,Challenger,50.0
HealthVerity,2017,Enabler,10.13
